Ngay,KL_Mua,KL_%Mua,KL_Ban,KL_%Ban,Mua-Ban,GT_Mua,GT_%Mua,GT_Ban,GT_%Ban,Mua-Ban
20/12/2022,110.623.413,"11,60%",37.800.544,"3,96%",72.822.869,2.641.086.400,"15,12%",778.487.510,"4,46%",1.862.598.890
19/12/2022,74.334.687,"8,72%",66.877.064,"7,85%",7.457.623,1.455.173.570,"9,07%",1.349.605.280,"8,41%",105.568.290
16/12/2022,111.244.864,"14,08%",91.696.521,"11,60%",19.548.343,2.586.733.520,"16,68%",2.311.381.000,"14,90%",275.352.520
15/12/2022,53.983.069,"8,11%",33.859.722,"5,09%",20.123.347,1.135.175.080,"9,20%",816.119.200,"6,62%",319.055.880
14/12/2022,59.537.294,"8,91%",60.785.778,"9,10%",-1.248.484,1.575.786.090,"11,48%",1.547.976.060,"11,27%",27.810.030
13/12/2022,98.165.666,"13,34%",55.122.948,"7,49%",43.042.718,2.455.243.680,"18,55%",1.557.951.540,"11,77%",897.292.140
12/12/2022,56.924.222,"7,04%",47.850.206,"5,92%",9.074.016,1.651.491.190,"10,07%",1.316.921.670,"8,03%",334.569.520
09/12/2022,59.875.143,"8,25%",41.352.447,"5,70%",18.522.696,1.502.639.730,"11,60%",1.052.657.910,"8,13%",449.981.820
08/12/2022,60.156.403,"6,89%",40.355.517,"4,62%",19.800.886,1.650.041.730,"10,68%",1.069.750.880,"6,92%",580.290.850
07/12/2022,72.423.496,"8,75%",44.122.625,"5,33%",28.300.871,1.881.668.830,"13,40%",880.298.950,"6,27%",1.001.369.880
06/12/2022,91.880.259,"6,77%",68.023.222,"5,01%",23.857.037,2.220.983.660,"9,44%",1.438.825.950,"6,11%",782.157.710
05/12/2022,98.229.193,"8,83%",62.324.448,"5,60%",35.904.745,2.478.155.290,"11,82%",1.099.745.030,"5,24%",1.378.410.260
02/12/2022,119.900.407,"11,82%",45.786.876,"4,51%",74.113.531,3.184.466.650,"17,77%",1.006.086.460,"5,61%",2.178.380.190
01/12/2022,106.458.912,"8,43%",75.988.731,"6,02%",30.470.181,2.659.126.880,"12,18%",1.634.113.370,"7,49%",1.025.013.510
30/11/2022,123.357.350,"12,90%",87.050.972,"9,10%",36.306.378,2.987.347.080,"16,82%",1.331.706.660,"7,50%",1.655.640.420
29/11/2022,156.870.991,"14,24%",50.287.538,"4,56%",106.583.453,3.656.440.060,"20,03%",1.018.870.620,"5,58%",2.637.569.440
28/11/2022,106.811.590,"12,24%",40.200.208,"4,61%",66.611.382,2.736.698.950,"17,16%",1.051.427.790,"6,59%",1.685.271.160
25/11/2022,67.899.668,"12,25%",28.915.631,"5,22%",38.984.037,1.883.908.370,"19,39%",921.407.180,"9,48%",962.501.190
24/11/2022,64.863.295,"13,45%",51.594.499,"10,70%",13.268.796,1.632.375.770,"19,53%",1.342.168.550,"16,06%",290.207.220
23/11/2022,48.890.388,"10,00%",51.511.423,"10,54%",-2.621.035,1.111.648.470,"14,15%",1.053.329.740,"13,40%",58.318.730
22/11/2022,73.441.251,"7,50%",69.477.709,"7,10%",3.963.542,1.625.952.610,"9,75%",1.364.451.630,"8,18%",261.500.980
21/11/2022,52.845.280,"10,11%",50.604.604,"9,68%",2.240.676,1.107.204.060,"12,60%",1.066.944.930,"12,15%",40.259.130
18/11/2022,117.963.761,"14,15%",120.649.819,"14,47%",-2.686.058,2.193.957.200,"16,01%",2.219.049.760,"16,19%",-25.092.560
17/11/2022,142.870.324,"24,23%",73.292.137,"12,43%",69.578.187,2.910.268.470,"25,49%",1.402.296.930,"12,28%",1.507.971.540
16/11/2022,110.923.411,"11,88%",66.901.465,"7,16%",44.021.946,2.260.159.670,"15,72%",1.602.443.480,"11,15%",657.716.190
15/11/2022,142.257.916,"24,15%",69.742.951,"11,84%",72.514.965,2.864.981.460,"29,24%",1.675.876.030,"17,11%",1.189.105.430
14/11/2022,150.904.568,"25,18%",45.673.145,"7,62%",105.231.423,2.699.049.360,"28,56%",997.502.410,"10,56%",1.701.546.950
11/11/2022,174.365.989,"26,98%",37.541.972,"5,81%",136.824.017,3.288.469.200,"29,92%",802.986.390,"7,31%",2.485.482.810
10/11/2022,71.907.035,"11,28%",80.527.757,"12,63%",-8.620.722,1.729.526.000,"15,97%",1.715.262.430,"15,84%",14.263.570
09/11/2022,74.692.762,"16,02%",53.309.200,"11,43%",21.383.562,1.678.775.970,"16,15%",1.113.161.920,"10,71%",565.614.050
08/11/2022,88.673.963,"16,35%",62.809.894,"11,58%",25.864.069,1.849.007.880,"17,82%",1.312.914.200,"12,66%",536.093.680
07/11/2022,80.182.599,"15,01%",59.116.761,"11,07%",21.065.838,1.796.248.220,"17,02%",1.274.378.250,"12,07%",521.869.970
04/11/2022,55.667.220,"8,01%",64.884.688,"9,34%",-9.217.468,1.480.917.290,"11,47%",1.490.502.070,"11,55%",-9.584.780
03/11/2022,28.027.199,"6,92%",25.147.260,"6,21%",2.879.939,750.548.900,"9,54%",498.848.480,"6,34%",251.700.420
02/11/2022,38.450.502,"7,87%",54.543.849,"11,17%",-16.093.347,875.710.310,"8,67%",1.124.371.440,"11,14%",-248.661.130
01/11/2022,35.396.708,"6,15%",81.772.991,"14,20%",-46.376.283,804.819.980,"7,49%",1.566.715.100,"14,59%",-761.895.120
31/10/2022,60.599.044,"10,42%",53.918.745,"9,27%",6.680.299,1.309.294.620,"11,46%",1.080.550.300,"9,46%",228.744.320
28/10/2022,42.866.640,"8,31%",128.975.644,"25,01%",-86.109.004,1.146.898.550,"8,59%",4.558.591.790,"34,16%",-3.411.693.240
27/10/2022,53.417.642,"9,33%",60.173.419,"10,51%",-6.755.777,1.129.148.040,"10,15%",1.297.663.260,"11,67%",-168.515.220
26/10/2022,30.412.187,"8,63%",34.587.484,"9,82%",-4.175.297,626.898.700,"7,79%",683.608.790,"8,49%",-56.710.090
25/10/2022,61.596.171,"9,19%",73.300.947,"10,94%",-11.704.776,1.267.578.000,"10,05%",1.352.716.400,"10,73%",-85.138.400
24/10/2022,46.982.264,"8,59%",46.960.526,"8,58%",21.738,1.216.288.350,"10,08%",1.142.950.490,"9,47%",73.337.860
21/10/2022,47.414.310,"7,38%",84.009.378,"13,08%",-36.595.068,1.383.144.420,"9,46%",1.822.111.300,"12,47%",-438.966.880
20/10/2022,38.524.976,"10,93%",38.770.633,"11,00%",-245.657,1.065.313.670,"12,69%",880.522.360,"10,49%",184.791.310
19/10/2022,37.538.889,"10,93%",47.994.757,"13,98%",-10.455.868,998.179.300,"12,06%",1.078.755.170,"13,04%",-80.575.870
18/10/2022,44.647.541,"9,57%",51.491.700,"11,04%",-6.844.159,1.244.314.380,"12,24%",1.272.716.630,"12,52%",-28.402.250
17/10/2022,35.589.808,"8,17%",36.549.389,"8,39%",-959.581,876.795.320,"9,18%",641.513.450,"6,72%",235.281.870
14/10/2022,55.333.194,"10,93%",44.421.950,"8,77%",10.911.244,1.259.656.410,"8,70%",1.043.423.780,"7,20%",216.232.630
13/10/2022,58.238.955,"14,46%",39.968.485,"9,93%",18.270.470,1.276.645.420,"14,34%",824.501.690,"9,26%",452.143.730
12/10/2022,84.261.256,"15,81%",33.579.208,"6,30%",50.682.048,1.971.862.720,"17,19%",735.510.810,"6,41%",1.236.351.910
11/10/2022,44.861.174,"7,72%",49.657.069,"8,55%",-4.795.895,1.356.069.520,"10,53%",1.197.183.490,"9,30%",158.886.030
10/10/2022,55.208.109,"10,19%",38.250.250,"7,06%",16.957.859,1.458.131.950,"9,69%",879.269.540,"5,84%",578.862.410
07/10/2022,88.631.794,"11,24%",85.644.964,"10,86%",2.986.830,2.433.233.350,"14,33%",2.174.214.240,"12,81%",259.019.110
06/10/2022,34.088.085,"6,82%",43.064.798,"8,61%",-8.976.713,871.953.650,"7,84%",1.005.557.240,"9,05%",-133.603.590
05/10/2022,47.321.975,"11,92%",40.416.962,"10,18%",6.905.013,1.239.352.130,"13,16%",1.013.180.490,"10,76%",226.171.640
04/10/2022,45.096.603,"8,77%",67.871.237,"13,21%",-22.774.634,1.189.907.850,"9,88%",1.661.217.510,"13,79%",-471.309.660
03/10/2022,30.680.831,"6,11%",53.372.750,"10,63%",-22.691.919,942.334.240,"8,18%",1.475.487.430,"12,80%",-533.153.190
30/09/2022,70.537.924,"11,52%",59.396.362,"9,70%",11.141.562,1.949.827.320,"11,38%",1.766.901.180,"10,31%",182.926.140
29/09/2022,28.538.834,"6,85%",34.020.007,"8,17%",-5.481.173,724.547.010,"6,45%",886.146.140,"7,89%",-161.599.130
28/09/2022,23.963.927,"4,54%",23.564.932,"4,47%",398.995,769.618.193,"6,53%",774.410.046,"6,57%",-4.791.854
27/09/2022,27.997.444,"6,74%",38.573.199,"9,29%",-10.575.755,726.008.120,"6,84%",1.113.757.660,"10,49%",-387.749.540
26/09/2022,40.658.030,"5,79%",60.141.540,"8,57%",-19.483.510,1.115.297.210,"6,35%",1.671.889.430,"9,53%",-556.592.220
23/09/2022,31.053.637,"7,00%",40.000.197,"9,02%",-8.946.560,819.506.030,"7,26%",1.148.158.870,"10,17%",-328.652.840
22/09/2022,27.651.137,"6,34%",39.223.998,"9,00%",-11.572.861,775.386.560,"6,65%",1.250.250.960,"10,72%",-474.864.400
21/09/2022,21.958.314,"6,75%",28.743.471,"8,83%",-6.785.157,676.956.590,"6,93%",799.429.100,"8,18%",-122.472.510
20/09/2022,37.145.315,"9,00%",26.037.388,"6,31%",11.107.927,1.146.997.410,"10,28%",722.207.780,"6,47%",424.789.630
19/09/2022,37.639.394,"5,86%",29.861.512,"4,65%",7.777.882,839.025.760,"5,02%",690.669.510,"4,13%",148.356.250
16/09/2022,63.226.330,"10,64%",90.224.835,"15,18%",-26.998.505,2.138.833.870,"13,79%",2.561.439.490,"16,51%",-422.605.620
15/09/2022,28.713.059,"7,44%",36.259.234,"9,40%",-7.546.175,839.305.560,"7,43%",1.172.231.590,"10,38%",-332.926.030
14/09/2022,35.208.543,"6,13%",33.017.321,"5,75%",2.191.222,839.608.100,"5,85%",894.267.930,"6,23%",-54.659.830
13/09/2022,33.616.495,"8,18%",41.635.095,"10,14%",-8.018.600,943.612.590,"7,40%",1.208.888.530,"9,48%",-265.275.940
12/09/2022,30.487.054,"7,80%",19.447.000,"4,98%",11.040.054,798.402.330,"7,43%",619.476.440,"5,76%",178.925.890
09/09/2022,21.768.600,"4,02%",17.458.100,"3,22%",4.310.500,721.388.862,"5,23%",543.299.576,"3,94%",178.089.286
08/09/2022,26.430.600,"4,74%",26.262.300,"4,71%",168.300,719.112.480,"4,99%",645.048.950,"4,47%",74.063.530
07/09/2022,27.952.200,"3,51%",40.459.400,"5,08%",-12.507.200,622.499.370,"3,06%",1.070.646.960,"5,27%",-448.147.590
06/09/2022,20.125.900,"3,74%",29.038.200,"5,40%",-8.912.300,585.359.030,"4,02%",855.480.790,"5,88%",-270.121.760
05/09/2022,24.832.300,"5,33%",32.821.600,"7,04%",-7.989.300,732.254.990,"5,46%",1.150.180.770,"8,58%",-417.925.780
